Rossz,Szomszedos,Szep. 25--27.,Okt. 2--4.,Okt. 9--11.,Okt. 16--18.,Oszi szunet,Nov. 6--8.,Nov. 13--15.,Nov. 20--22.,Nov. 27--29.,Dec. 4--6.,Dec. 11--13.,Dec. 18--20.,Jan. 8--10.,Jan. 15--17.,Jan. 22--24.,Jan. 29--31.
0,2,Hetedikesek,,Monguz,,,,Beluga,,Okapi,,B,,Lemur,ZsB,ZsA,
0,2,,,Monguz,,Hetedikesek,,Beluga,,Okapi,,B,,Lemur,ZsB,ZsA,
1,1,Hetedikesek,,Monguz,,,,Beluga,,Okapi,,B,,Lemur,ZsB,,ZsA
1,1,,,Monguz,,Hetedikesek,,Beluga,,Okapi,,B,,Lemur,ZsB,,ZsA
1,2,Hetedikesek,,Monguz,,,Beluga,,Okapi,Lemur,,B,,,ZsB,ZsA,
1,2,Hetedikesek,,Monguz,,,,Beluga,Okapi,Lemur,,B,,,ZsB,,ZsA
1,2,Hetedikesek,,Monguz,,,ZsA,,Okapi,Lemur,,B,,,ZsB,Beluga,
1,2,Hetedikesek,,Monguz,,,,Beluga,,Okapi,,B,Lemur,,ZsB,ZsA,
1,2,Hetedikesek,,Monguz,,,Beluga,,Okapi,,ZsA,B,,Lemur,ZsB,,
1,2,Hetedikesek,,Monguz,,,Beluga,,Okapi,,,B,,Lemur,ZsB,ZsA,
1,2,Hetedikesek,,Monguz,,,,Beluga,Okapi,,ZsA,B,,Lemur,,ZsB,
1,2,Hetedikesek,,Monguz,,,,Beluga,Okapi,,,B,,Lemur,ZsB,,ZsA
1,2,Hetedikesek,,Monguz,,,ZsA,,Okapi,,,B,,Lemur,ZsB,Beluga,
1,2,Hetedikesek,,Monguz,,,Beluga,,,Okapi,,B,,Lemur,ZsB,ZsA,
1,2,Hetedikesek,,Monguz,,,ZsA,Beluga,,Okapi,,B,,Lemur,ZsB,,
1,2,Hetedikesek,,Monguz,,,,Beluga,,Okapi,ZsA,B,,Lemur,,ZsB,
1,2,Hetedikesek,,Monguz,,,,Beluga,,Okapi,,B,,Lemur,ZsA,ZsB,
1,2,Hetedikesek,,Monguz,,,ZsA,,Beluga,Okapi,,B,,Lemur,ZsB,,
