Rossz,Szomszedos,Jan. 29--31.,Febr. 5--7.,Febr. 12--14.,Febr. 19--21.,Febr. 26-28.,Marc. 4--6.,Marc. 18--20.,tavaszi szunet,Apr. 1--3.,Apr. 8--10.,Apr. 15--17.,Apr. 22--24.,Apr. 29. -- maj. 1.,Maj. 6--8.,Maj. 13--15.,Maj. 20--22.,Maj. 27--29..,Jun. 3--5.,Jun. 10--12.,Jun. 17--19.,Jun 24--26.
10,0,,,K,,,Lemur,,Beluga,,Okapi,,ZsB,,,Monguz,,,B,,,
10,0,,,K,,,Lemur,,,,Okapi,,ZsB,,,Monguz,,,B,,Beluga,
10,0,,,K,,,Lemur,,Beluga,,Okapi,,ZsB,,,,Monguz,,B,,,
10,0,,,K,,,Lemur,,,,Okapi,,ZsB,,Beluga,,Monguz,,B,,,
10,0,,,K,,,Lemur,,,,Okapi,,ZsB,,,,Monguz,,B,,Beluga,
10,0,,,K,,,,Okapi,,,Lemur,,ZsB,,,Monguz,,,B,,Beluga,
10,0,,,K,,,,Okapi,,,Lemur,,ZsB,,Beluga,,Monguz,,B,,,
10,0,,,K,,,,Okapi,,,Lemur,,ZsB,,,,Monguz,,B,,Beluga,
10,1,,,K,,,Lemur,,,Monguz,Okapi,,ZsB,,,Beluga,,,B,,,
10,1,,,K,Beluga,,Lemur,,,,Okapi,,ZsB,,,Monguz,,,B,,,
10,1,,,K,,,Lemur,,Beluga,,Okapi,ZsB,,,,Monguz,,,B,,,
10,1,,,K,,,Lemur,,,,Okapi,,ZsB,,Beluga,Monguz,,,B,,,
10,1,,,K,,,Lemur,,,,Okapi,,ZsB,,,Monguz,,,B,Beluga,,
10,1,,,K,,,Lemur,,,,Okapi,ZsB,,,,Monguz,,,B,,Beluga,
10,1,,,K,Beluga,,Lemur,,,,Okapi,,ZsB,,,,Monguz,,B,,,
10,1,,,K,,,Lemur,,Beluga,,Okapi,ZsB,,,,,Monguz,,B,,,
10,1,,,K,,,Lemur,,,,Okapi,ZsB,,,Beluga,,Monguz,,B,,,
10,1,,,K,,,Lemur,,,,Okapi,,ZsB,,,Beluga,Monguz,,,B,,
10,1,,,K,,,Lemur,,,,Okapi,,ZsB,,,,Monguz,,B,Beluga,,
10,1,,,K,,,Lemur,,,,Okapi,ZsB,,,,,Monguz,,B,,Beluga,
10,1,,,K,,,Lemur,,,,Okapi,,ZsB,,B,Beluga,,,Monguz,,,
10,1,,,K,,,Lemur,,,,Okapi,,ZsB,,,Beluga,,,Monguz,B,,
10,1,,,K,,,Monguz,Okapi,,,Lemur,,ZsB,,,Beluga,,,B,,,
10,1,,,K,,,,Okapi,,Monguz,Lemur,,ZsB,,,Beluga,,,B,,,
10,1,,,K,Beluga,,,Okapi,,,Lemur,,ZsB,,,Monguz,,,B,,,
10,1,,,K,,,,Okapi,Beluga,,Lemur,,ZsB,,,Monguz,,,B,,,
10,1,,,K,,,,Okapi,,,Lemur,,ZsB,,Beluga,Monguz,,,B,,,
10,1,,,K,,,,Okapi,,,Lemur,,ZsB,,,Monguz,,,B,Beluga,,
10,1,,,K,,,,Okapi,,,Lemur,ZsB,,,,Monguz,,,B,,Beluga,
10,1,,,K,Beluga,,,Okapi,,,Lemur,,ZsB,,,,Monguz,,B,,,
10,1,,,K,,,,Okapi,Beluga,,Lemur,,ZsB,,,,Monguz,,B,,,
10,1,,,K,,,,Okapi,,,Lemur,ZsB,,,Beluga,,Monguz,,B,,,
10,1,,,K,,,,Okapi,,,Lemur,,ZsB,,,Beluga,Monguz,,,B,,
10,1,,,K,,,,Okapi,,,Lemur,,ZsB,,,,Monguz,,B,Beluga,,
10,1,,,K,,,,Okapi,,,Lemur,ZsB,,,,,Monguz,,B,,Beluga,
10,1,,,K,,,,Okapi,,,Lemur,,ZsB,,B,Beluga,,,Monguz,,,
10,1,,,K,,,,Okapi,,,Lemur,,ZsB,,,Beluga,,,Monguz,B,,
10,2,,,K,,,Lemur,,,Monguz,Okapi,ZsB,,,,Beluga,,,B,,,
10,2,,,K,,,Lemur,Okapi,,,,Monguz,ZsB,,,Beluga,,,B,,,
10,2,,,K,,,Lemur,,Beluga,,Okapi,Monguz,ZsB,,,,,,B,,,
10,2,,,K,,,Lemur,,,,Okapi,Monguz,ZsB,,Beluga,,,,B,,,
10,2,,,K,,,Lemur,,,ZsB,Okapi,Monguz,,,,Beluga,,,B,,,
10,2,,,K,,,Lemur,,,,Okapi,Monguz,,,,Beluga,ZsB,,B,,,
10,2,,,K,,,Lemur,,,,Okapi,Monguz,,,,Beluga,,ZsB,B,,,
10,2,,,K,,,Lemur,,,,Okapi,Monguz,,,,Beluga,,,B,ZsB,,
10,2,,,K,,,Lemur,,,,Okapi,Monguz,ZsB,,,Beluga,,,,B,,
10,2,,,K,,,Lemur,,,,Okapi,Monguz,ZsB,,,,,,B,,Beluga,
10,2,,,K,,,Lemur,,,,Okapi,ZsB,Monguz,,,Beluga,,,B,,,
10,2,,,K,,,Lemur,Okapi,,,,Beluga,ZsB,,,Monguz,,,B,,,
10,2,,,K,Beluga,,Lemur,,,,Okapi,ZsB,,,,Monguz,,,B,,,
10,2,,,K,,,Lemur,,,ZsB,Okapi,Beluga,,,,Monguz,,,B,,,
