Rossz,Szomszedos,Okt. 21--23.,Őszi szünet,Nov. 11--13.,Nov. 18--20.,Nov. 25--27.,Dec. 2--4.,Dec. 9--11.,Dec. 16--18.,Jan. 6--8.,Jan. 13--15.,Jan. 20--22.,Jan. 27--29.
0,2,,,,Okapi,Medve,Mongúz,,Beluga,,Ka,,Bébé
0,2,,,,Okapi,,Mongúz,Medve,Beluga,,Ka,,Bébé
0,2,,,,Okapi,,Mongúz,Medve,,Beluga,Ka,,Bébé
0,2,,,,Okapi,Medve,Mongúz,,Bébé,,Ka,,Beluga
0,2,,,,Okapi,,Mongúz,Medve,Bébé,,Ka,,Beluga
0,2,,,,Medve,,Mongúz,Beluga,Okapi,,Ka,,Bébé
0,2,,,,Medve,,Mongúz,,Okapi,Beluga,Ka,,Bébé
0,2,,,,Bébé,Medve,Mongúz,,Okapi,,Ka,,Beluga
0,2,,,,Bébé,,Mongúz,Medve,Okapi,,Ka,,Beluga
0,2,,,,Medve,,Mongúz,Bébé,Okapi,,Ka,,Beluga
0,2,,,,Medve,,Mongúz,,Beluga,,Ka,Okapi,Bébé
0,2,,,,Medve,,Mongúz,,Bébé,,Ka,Okapi,Beluga
0,2,,,,Okapi,Medve,,Mongúz,Beluga,,Ka,,Bébé
0,2,,,,Okapi,,Medve,Mongúz,Beluga,,Ka,,Bébé
0,2,,,,Okapi,Medve,,Mongúz,,Beluga,Ka,,Bébé
0,2,,,,Okapi,,Medve,Mongúz,,Beluga,Ka,,Bébé
0,2,,,,Okapi,Medve,,Mongúz,Bébé,,Ka,,Beluga
0,2,,,,Okapi,,Medve,Mongúz,Bébé,,Ka,,Beluga
0,2,,,,Medve,,Okapi,Mongúz,Beluga,,Ka,,Bébé
0,2,,,,Medve,,Okapi,Mongúz,,Beluga,Ka,,Bébé
0,2,,,,Medve,,Okapi,Mongúz,Bébé,,Ka,,Beluga
0,2,,,,Medve,,Beluga,Mongúz,Okapi,,Ka,,Bébé
0,2,,,,Bébé,Medve,,Mongúz,Okapi,,Ka,,Beluga
0,2,,,,Bébé,,Medve,Mongúz,Okapi,,Ka,,Beluga
1,0,Bébé,,,Medve,,Mongúz,,Okapi,,Ka,,Beluga
1,1,,,Ka,Okapi,,Mongúz,,Beluga,,Medve,,Bébé
1,1,,,Ka,Okapi,,Mongúz,,Bébé,,Medve,,Beluga
1,1,,,Ka,Bébé,,Mongúz,,Okapi,,Medve,,Beluga
1,1,,,Ka,Medve,,Mongúz,,Beluga,,Okapi,,Bébé
1,1,,,Ka,,Medve,Mongúz,,Beluga,,Okapi,,Bébé
1,1,,,Ka,Medve,,Mongúz,,Bébé,,Okapi,,Beluga
1,1,,,Ka,,Medve,Mongúz,,Bébé,,Okapi,,Beluga
1,1,,,Ka,,Medve,,Mongúz,Beluga,,Okapi,,Bébé
1,1,,,Ka,,Medve,,Mongúz,,Beluga,Okapi,,Bébé
1,1,,,Ka,,Medve,,Mongúz,Bébé,,Okapi,,Beluga
1,1,,,Ka,,Medve,,Mongúz,,Beluga,,Okapi,Bébé
1,1,,,Mongúz,Okapi,,Medve,,Beluga,,Ka,,Bébé
1,1,,,Mongúz,Okapi,,Medve,,Bébé,,Ka,,Beluga
1,1,,,Mongúz,Medve,,Okapi,,Beluga,,Ka,,Bébé
1,1,,,Mongúz,,Medve,Okapi,,Beluga,,Ka,,Bébé
1,1,,,Mongúz,Medve,,Okapi,,Bébé,,Ka,,Beluga
1,1,,,Mongúz,,Medve,Okapi,,Bébé,,Ka,,Beluga
1,1,,,Mongúz,Medve,,Beluga,,Okapi,,Ka,,Bébé
1,1,,,Mongúz,,Medve,Beluga,,Okapi,,Ka,,Bébé
1,1,,,Mongúz,,Medve,,Beluga,Okapi,,Ka,,Bébé
1,1,,,Mongúz,Bébé,,Medve,,Okapi,,Ka,,Beluga
1,1,,,Mongúz,,Medve,,Bébé,Okapi,,Ka,,Beluga
1,1,,,Okapi,Medve,,Mongúz,,Beluga,,Ka,,Bébé
1,1,,,Okapi,,Medve,Mongúz,,Beluga,,Ka,,Bébé
1,1,,,Okapi,Medve,,Mongúz,,Bébé,,Ka,,Beluga
1,1,,,Okapi,,Medve,Mongúz,,Bébé,,Ka,,Beluga
1,1,,,Medve,Okapi,,Mongúz,,Beluga,,Ka,,Bébé
1,1,Bébé,,,Okapi,,Mongúz,Medve,,,Ka,,Beluga
1,1,,,Medve,Okapi,,Mongúz,,Bébé,,Ka,,Beluga
1,1,,,Beluga,Medve,,Mongúz,,Okapi,,Ka,,Bébé
1,1,,,Beluga,,Medve,Mongúz,,Okapi,,Ka,,Bébé
1,1,Bébé,,,,Medve,Mongúz,,Okapi,,Ka,,Beluga
1,1,,,Bébé,Medve,,Mongúz,,Okapi,,Ka,,Beluga
1,1,,,Bébé,,Medve,Mongúz,,Okapi,,Ka,,Beluga
1,1,,,Medve,Bébé,,Mongúz,,Okapi,,Ka,,Beluga
1,1,Bébé,,,Medve,,Mongúz,,Beluga,,Ka,Okapi,
