,Febr. 3--5.,Febr. 10--12.,Febr. 17--19.,Febr. 24--26.,Márc. 3--5.,Márc. 10--12.,Márc. 17--19.,Márc. 24--26.,Márc. 31. -- ápr. 2.,Tavaszi szünet,Ápr. 21--23.,Ápr. 28. -- máj. 1. (hétfő),Máj. 5--7.,Máj. 12--14.,Máj. 19--21.,Máj. 26--28.,Jún. 3--5.,Jún. 10--12.,Jún. 16--18.,Jún. 23--25.
Ka,3,10,10,4,6,4,4,5,0,5,4,0,3,0,4,1,2,1,4,11
Lemur,11,16,11,12,12,3,7,4,2,13,9,1,7,3,2,2,1,5,3,3
Mongúz,9,8,14,8,6,5,4,8,1,9,2,0,4,2,0,1,1,2,2,4
Okapi,5,12,2,10,14,2,4,7,3,10,5,1,3,5,1,2,5,6,2,4
Beluga,7,5,7,4,4,3,3,0,2,8,3,3,7,2,0,4,4,7,3,4
Bébé,4,5,3,0,2,0,1,0,1,10,2,3,4,3,1,1,0,1,2,3
Medve,6,14,9,11,8,2,3,6,9,6,9,4,1,1,0,1,1,3,4,5
Ka,x,x,x,x,x,x,,,,,,,,,,,,x,,
Lemur,x,,,x,,,,,,,,,,,,,,,,
Mongúz,x,,,x,,,,,,,,,,,,,,,,
Okapi,,,,,,,,,,,,,,,,,,,,
Bébé,x,x,,x,,,,,,,,,x,x,,,,,,
Medve,x,x,,x,,,,,,,,,x,x,,,,,,

