Rossz,Szomszedos,Marc. 3--5.,Marc. 10--12.,Marc. 17--19.,Marc. 24--26.,Marc. 31. -- apr. 2.,Tavaszi szunet,apr. 21--23.,apr. 28. -- maj. 1.,Maj. 5--7.,Maj. 12--14.,Maj. 19--21.,Maj. 26--28.,Jun. 3--5.,Jun. 10--12.,Jun. 16--18.,Jun. 23--25.
3,1,,Bebe,,Beluga,Ka,,,Monguz,,,Medve,,Lemur,,Okapi,
3,1,,Bebe,,Beluga,,,,Monguz,,Ka,Medve,,Lemur,,Okapi,
3,2,,Bebe,,Beluga,Monguz,,,Okapi,,Ka,Medve,,Lemur,,,
3,3,,Bebe,,Beluga,Ka,,,Monguz,,,Okapi,Medve,Lemur,,,
3,3,,Bebe,,Beluga,Ka,,,Monguz,,,Medve,Okapi,Lemur,,,
3,3,,Bebe,,Beluga,Ka,,,Okapi,,,Monguz,Medve,Lemur,,,
3,3,,Bebe,,Beluga,Ka,,,Okapi,,,Medve,Monguz,Lemur,,,
3,3,,Bebe,,Beluga,,,,Monguz,,Ka,Okapi,Medve,Lemur,,,
3,3,,Bebe,,Beluga,,,,Monguz,,Ka,Medve,Okapi,Lemur,,,
3,3,,Bebe,,Beluga,,,,Okapi,,Ka,Monguz,Medve,Lemur,,,
3,3,,Bebe,,Beluga,,,,Okapi,,Ka,Medve,Monguz,Lemur,,,
4,1,,Bebe,,Beluga,Ka,,,Lemur,,,Monguz,,Medve,,Okapi,
4,1,,Bebe,,Beluga,Ka,,,Lemur,,,Medve,,Monguz,,Okapi,
4,1,,Bebe,,Beluga,Ka,,,Okapi,,,Medve,,Lemur,,Monguz,
4,1,,Bebe,,Beluga,Monguz,,,Ka,,,Medve,,Lemur,,Okapi,
4,1,,Bebe,,Beluga,,,,Lemur,,Ka,Monguz,,Medve,,Okapi,
4,1,,Bebe,,Beluga,,,,Lemur,,Ka,Medve,,Monguz,,Okapi,
4,1,,Bebe,,Beluga,,,,Monguz,,Ka,,Medve,Lemur,,Okapi,
4,1,,Bebe,,Beluga,,,,Okapi,,Ka,Medve,,Lemur,,Monguz,
4,2,,Bebe,,Beluga,Ka,,,Lemur,,,Monguz,Medve,,,Okapi,
