,Szept. 29. -- okt. 1.,Okt. 6--8.,Okt. 20--22.,Nov. 10--12.,Nov. 17--19.,Nov. 24--26.,Dec. 1--3.,Dec. 8--10.,Dec. 15--17.,Jan. 5--7.,Jan. 12--14.,Jan. 19--21.,Jan. 26--28.
Franny,3,1,2,4,4,1,0,3,1,0,0,7,2
Zooey,4,3,3,6,14,3,0,0,1,2,3,2,3
Ka,2,7,2,1,3,0,0,1,2,5,2,2,0
Lemur,5,7,0,1,0,2,0,1,2,6,4,0,2
Mongúz,8,3,5,0,1,2,1,1,1,1,2,1,0
Beluga,2,3,3,1,0,0,0,2,2,1,2,2,4
Bébé,0,1,0,3,1,0,1,1,2,0,1,0,1
Medve,1,2,4,6,3,0,2,2,1,1,6,0,1
Franny,,,,,,,,,,,,,
Zooey,,,,,,,,,,,,,
Ka,,,,,,,,,,,,,
Lemur,,,,,,,,,,,,,
Mongúz,x,x,x,,,,,,,,,,
Beluga,x,x,x,,,,,,,,,,
Bébé,,,,x,x,,,,,,,,
Medve,,,,x,x,,,,,,,,
