Rossz,Szomszedos,Okt. 6--8.,Okt. 20--22.,Nov. 10--12.,Nov. 17--19.,Nov. 24--26.,Dec. 1--3.,Dec. 8--10.,Dec. 15--17.,Jan. 5--7.,Jan. 12--14.,Jan. 19--21.,Jan. 26--28.
0,4,,Lemur,,Beluga,Ka,Franny,Zooey,,Bébé,,Medve,Mongúz
0,4,,Lemur,Mongúz,Beluga,,Franny,Zooey,,Bébé,,Medve,Ka
0,4,,Lemur,Mongúz,,Beluga,Franny,Zooey,,Bébé,,Medve,Ka
0,4,,Bébé,,Lemur,Ka,Beluga,Zooey,,Franny,,Medve,Mongúz
0,4,,Bébé,,Beluga,Ka,Lemur,Zooey,,Franny,,Medve,Mongúz
0,4,,Lemur,,Beluga,Bébé,Ka,Zooey,,Franny,,Medve,Mongúz
0,4,,Lemur,,Beluga,Medve,Ka,Zooey,,Franny,,Bébé,Mongúz
0,4,,Bébé,,Lemur,Beluga,Ka,Zooey,,Franny,,Medve,Mongúz
0,4,,Bébé,,Beluga,Medve,Ka,Zooey,,Franny,,Lemur,Mongúz
0,4,,Lemur,Mongúz,Beluga,Bébé,,Zooey,,Franny,,Medve,Ka
0,4,,Lemur,Mongúz,Beluga,Medve,,Zooey,,Franny,,Bébé,Ka
0,4,,Lemur,Mongúz,,Bébé,Beluga,Zooey,,Franny,,Medve,Ka
0,4,,Lemur,Mongúz,,Medve,Beluga,Zooey,,Franny,,Bébé,Ka
0,4,,Bébé,Mongúz,Lemur,Beluga,,Zooey,,Franny,,Medve,Ka
0,4,,Bébé,Mongúz,Lemur,,Beluga,Zooey,,Franny,,Medve,Ka
0,4,,Bébé,Mongúz,Beluga,,Lemur,Zooey,,Franny,,Medve,Ka
0,4,,Bébé,Mongúz,,Beluga,Lemur,Zooey,,Franny,,Medve,Ka
0,4,,Bébé,Mongúz,Beluga,Medve,,Zooey,,Franny,,Lemur,Ka
0,4,,Bébé,Mongúz,,Medve,Beluga,Zooey,,Franny,,Lemur,Ka
0,4,,Lemur,,Beluga,Ka,,Zooey,,Bébé,Franny,Medve,Mongúz
0,4,,Lemur,,Beluga,Medve,Ka,Zooey,,Bébé,Franny,,Mongúz
0,4,,Lemur,,Beluga,,Ka,Zooey,,Bébé,Franny,Medve,Mongúz
0,4,,Lemur,Mongúz,Beluga,Medve,,Zooey,,Bébé,Franny,,Ka
0,4,,Lemur,Mongúz,,Beluga,,Zooey,,Bébé,Franny,Medve,Ka
0,4,,Lemur,Mongúz,,Medve,Beluga,Zooey,,Bébé,Franny,,Ka
1,3,Franny,Lemur,,Beluga,Ka,,Zooey,,Bébé,,Medve,Mongúz
1,3,Franny,Lemur,,Beluga,,Ka,Zooey,,Bébé,,Medve,Mongúz
1,3,Franny,Lemur,Mongúz,,Beluga,,Zooey,,Bébé,,Medve,Ka
1,3,Franny,,Mongúz,Lemur,Beluga,,Zooey,,Bébé,,Medve,Ka
1,3,Franny,,Mongúz,Lemur,,Beluga,Zooey,,Bébé,,Medve,Ka
1,3,Franny,,Mongúz,Beluga,,Lemur,Zooey,,Bébé,,Medve,Ka
1,3,Franny,,Mongúz,,Beluga,Lemur,Zooey,,Bébé,,Medve,Ka
1,3,Franny,,Mongúz,Beluga,Medve,,Zooey,,Bébé,,Lemur,Ka
1,3,Franny,,Mongúz,,Medve,Beluga,Zooey,,Bébé,,Lemur,Ka
1,3,Bébé,Lemur,,Beluga,Ka,,Zooey,,Franny,,Medve,Mongúz
1,3,Bébé,Lemur,,Beluga,,Ka,Zooey,,Franny,,Medve,Mongúz
1,3,Bébé,Lemur,Mongúz,,Beluga,,Zooey,,Franny,,Medve,Ka
1,3,Bébé,,Mongúz,Lemur,Beluga,,Zooey,,Franny,,Medve,Ka
1,3,Bébé,,Mongúz,Lemur,,Beluga,Zooey,,Franny,,Medve,Ka
1,3,Bébé,,Mongúz,Beluga,,Lemur,Zooey,,Franny,,Medve,Ka
1,3,Bébé,,Mongúz,,Beluga,Lemur,Zooey,,Franny,,Medve,Ka
1,3,Bébé,,Mongúz,Beluga,Medve,,Zooey,,Franny,,Lemur,Ka
1,3,Bébé,,Mongúz,,Medve,Beluga,Zooey,,Franny,,Lemur,Ka
1,4,Franny,Lemur,,Beluga,Ka,Zooey,,,Bébé,,Medve,Mongúz
1,4,Franny,Lemur,Mongúz,Beluga,,Zooey,,,Bébé,,Medve,Ka
1,4,Franny,Lemur,Mongúz,,Beluga,Zooey,,,Bébé,,Medve,Ka
1,4,Franny,,Mongúz,Lemur,Beluga,Zooey,,,Bébé,,Medve,Ka
1,4,Franny,,Mongúz,Beluga,Medve,Zooey,,,Bébé,,Lemur,Ka
1,4,Franny,Lemur,Mongúz,Beluga,Ka,,Zooey,,Bébé,,Medve,
1,4,Franny,Lemur,Mongúz,,Ka,Beluga,Zooey,,Bébé,,Medve,
1,4,Franny,Lemur,,,Ka,Beluga,Zooey,,Bébé,,Medve,Mongúz
1,4,Franny,,Mongúz,Lemur,Ka,Beluga,Zooey,,Bébé,,Medve,
1,4,Franny,,,Lemur,Ka,Beluga,Zooey,,Bébé,,Medve,Mongúz
1,4,Franny,,Mongúz,Beluga,Ka,Lemur,Zooey,,Bébé,,Medve,
1,4,Franny,,,Beluga,Ka,Lemur,Zooey,,Bébé,,Medve,Mongúz
1,4,Franny,Lemur,Mongúz,Beluga,,Ka,Zooey,,Bébé,,Medve,
1,4,Franny,Lemur,Mongúz,,Beluga,Ka,Zooey,,Bébé,,Medve,
1,4,Franny,Lemur,,Beluga,Medve,Ka,Zooey,,Bébé,,,Mongúz
1,4,Franny,Lemur,,,Beluga,Ka,Zooey,,Bébé,,Medve,Mongúz
1,4,Franny,,Mongúz,Lemur,Beluga,Ka,Zooey,,Bébé,,Medve,
1,4,Franny,,,Lemur,Beluga,Ka,Zooey,,Bébé,,Medve,Mongúz
1,4,Franny,,Mongúz,Beluga,Medve,Ka,Zooey,,Bébé,,Lemur,
1,4,Franny,,,Beluga,Medve,Ka,Zooey,,Bébé,,Lemur,Mongúz
1,4,Franny,Lemur,Mongúz,Beluga,Medve,,Zooey,,Bébé,,,Ka
1,4,Franny,Lemur,Mongúz,Beluga,,,Zooey,,Bébé,,Medve,Ka
1,4,Franny,Lemur,Mongúz,,Medve,Beluga,Zooey,,Bébé,,,Ka
1,4,Franny,Lemur,Mongúz,,,Beluga,Zooey,,Bébé,,Medve,Ka
1,4,Franny,,Mongúz,Lemur,Medve,Beluga,Zooey,,Bébé,,,Ka
1,4,Franny,,Mongúz,Beluga,Medve,Lemur,Zooey,,Bébé,,,Ka
1,4,,Lemur,,Beluga,Franny,Ka,Zooey,,Bébé,,Medve,Mongúz
1,4,,Lemur,Mongúz,Beluga,Franny,,Zooey,,Bébé,,Medve,Ka
1,4,,Lemur,Mongúz,,Franny,Beluga,Zooey,,Bébé,,Medve,Ka
1,4,,Lemur,Ka,Beluga,,Franny,Zooey,,Bébé,,Medve,Mongúz
1,4,,Lemur,Ka,,Beluga,Franny,Zooey,,Bébé,,Medve,Mongúz
1,4,,Lemur,Beluga,,Ka,Franny,Zooey,,Bébé,,Medve,Mongúz
1,4,,Lemur,,Beluga,Ka,Franny,Zooey,,Medve,,Bébé,Mongúz
1,4,,Bébé,,Lemur,Ka,Franny,Zooey,,Beluga,,Medve,Mongúz
1,4,,Bébé,,Beluga,Ka,Franny,Zooey,,Medve,,Lemur,Mongúz
1,4,,Lemur,Mongúz,Beluga,,Franny,Zooey,,Medve,,Bébé,Ka
1,4,,Lemur,Mongúz,,Beluga,Franny,Zooey,,Medve,,Bébé,Ka
1,4,,Lemur,Mongúz,,Bébé,Franny,Zooey,,Beluga,,Medve,Ka
1,4,,Lemur,Mongúz,,Medve,Franny,Zooey,,Beluga,,Bébé,Ka
1,4,,Lemur,,Mongúz,Beluga,Franny,Zooey,,Bébé,,Medve,Ka
1,4,,Lemur,,Beluga,,Franny,Zooey,Mongúz,Bébé,,Medve,Ka
1,4,,Lemur,,Beluga,Bébé,Franny,Zooey,,Mongúz,,Medve,Ka
1,4,,Lemur,,Beluga,Medve,Franny,Zooey,,Mongúz,,Bébé,Ka
1,4,,Lemur,,Beluga,Medve,Franny,Zooey,,Bébé,,Mongúz,Ka
1,4,,Bébé,Mongúz,Lemur,,Franny,Zooey,,Beluga,,Medve,Ka
1,4,,Bébé,,Lemur,Beluga,Franny,Zooey,,Mongúz,,Medve,Ka
1,4,,Bébé,Mongúz,Beluga,,Franny,Zooey,,Medve,,Lemur,Ka
1,4,,Bébé,Mongúz,,Beluga,Franny,Zooey,,Medve,,Lemur,Ka
1,4,,Bébé,Mongúz,,Medve,Franny,Zooey,,Beluga,,Lemur,Ka
1,4,,Bébé,,Beluga,Medve,Franny,Zooey,,Mongúz,,Lemur,Ka
1,4,,Lemur,,Beluga,Ka,Franny,,Zooey,Bébé,,Medve,Mongúz
1,4,,Lemur,Mongúz,Beluga,,Franny,,Zooey,Bébé,,Medve,Ka
1,4,,Lemur,Mongúz,,Beluga,Franny,,Zooey,Bébé,,Medve,Ka
1,4,,Lemur,,Beluga,Ka,Zooey,,Franny,Bébé,,Medve,Mongúz
1,4,,Lemur,Mongúz,Beluga,,Zooey,,Franny,Bébé,,Medve,Ka
1,4,,Lemur,Mongúz,,Beluga,Zooey,,Franny,Bébé,,Medve,Ka
1,4,,Lemur,,Beluga,Ka,,Zooey,Franny,Bébé,,Medve,Mongúz
1,4,,Lemur,,Beluga,,Ka,Zooey,Franny,Bébé,,Medve,Mongúz
1,4,,Lemur,Mongúz,,Beluga,,Zooey,Franny,Bébé,,Medve,Ka
1,4,Bébé,Lemur,,Beluga,Ka,Zooey,,,Franny,,Medve,Mongúz
1,4,,Lemur,,Beluga,Ka,Zooey,Bébé,,Franny,,Medve,Mongúz
1,4,,Lemur,,Beluga,Ka,Zooey,,Medve,Franny,,Bébé,Mongúz
1,4,,Bébé,,Beluga,Ka,Zooey,Lemur,,Franny,,Medve,Mongúz
1,4,,Bébé,,Beluga,Ka,Zooey,,Medve,Franny,,Lemur,Mongúz
1,4,,Lemur,,Beluga,Bébé,Zooey,Ka,,Franny,,Medve,Mongúz
1,4,,Lemur,,Beluga,Medve,Zooey,Ka,,Franny,,Bébé,Mongúz
1,4,,Bébé,,Lemur,Beluga,Zooey,Ka,,Franny,,Medve,Mongúz
1,4,,Bébé,,Beluga,Medve,Zooey,Ka,,Franny,,Lemur,Mongúz
1,4,Bébé,Lemur,Mongúz,Beluga,,Zooey,,,Franny,,Medve,Ka
1,4,,Lemur,Mongúz,Beluga,,Zooey,Bébé,,Franny,,Medve,Ka
1,4,,Lemur,Mongúz,Beluga,,Zooey,,Medve,Franny,,Bébé,Ka
1,4,Bébé,Lemur,Mongúz,,Beluga,Zooey,,,Franny,,Medve,Ka
1,4,,Lemur,Mongúz,,Beluga,Zooey,Bébé,,Franny,,Medve,Ka
1,4,,Lemur,Mongúz,,Beluga,Zooey,,Medve,Franny,,Bébé,Ka
1,4,,Lemur,,Beluga,Bébé,Zooey,Mongúz,,Franny,,Medve,Ka
1,4,,Lemur,,Beluga,Medve,Zooey,Mongúz,,Franny,,Bébé,Ka
1,4,,Lemur,,Beluga,Bébé,Zooey,,Mongúz,Franny,,Medve,Ka
1,4,,Lemur,,Beluga,Medve,Zooey,,Mongúz,Franny,,Bébé,Ka
1,4,Bébé,,Mongúz,Lemur,Beluga,Zooey,,,Franny,,Medve,Ka
1,4,,Bébé,,Lemur,Beluga,Zooey,Mongúz,,Franny,,Medve,Ka
1,4,,Bébé,,Lemur,Beluga,Zooey,,Mongúz,Franny,,Medve,Ka
1,4,,Bébé,Mongúz,Beluga,,Zooey,Lemur,,Franny,,Medve,Ka
1,4,,Bébé,Mongúz,,Beluga,Zooey,Lemur,,Franny,,Medve,Ka
1,4,Bébé,,Mongúz,Beluga,Medve,Zooey,,,Franny,,Lemur,Ka
1,4,,Bébé,Mongúz,Beluga,,Zooey,,Medve,Franny,,Lemur,Ka
1,4,,Bébé,Mongúz,,Beluga,Zooey,,Medve,Franny,,Lemur,Ka
1,4,,Bébé,,Beluga,Medve,Zooey,Mongúz,,Franny,,Lemur,Ka
1,4,,Bébé,,Beluga,Medve,Zooey,,Mongúz,Franny,,Lemur,Ka
1,4,,Lemur,Ka,Beluga,Bébé,,Zooey,,Franny,,Medve,Mongúz
1,4,,Lemur,Ka,Beluga,Medve,,Zooey,,Franny,,Bébé,Mongúz
1,4,,Lemur,Ka,,Bébé,Beluga,Zooey,,Franny,,Medve,Mongúz
1,4,,Lemur,Ka,,Medve,Beluga,Zooey,,Franny,,Bébé,Mongúz
1,4,,Bébé,Ka,Lemur,Beluga,,Zooey,,Franny,,Medve,Mongúz
1,4,,Bébé,Ka,Lemur,,Beluga,Zooey,,Franny,,Medve,Mongúz
1,4,,Bébé,Ka,Beluga,,Lemur,Zooey,,Franny,,Medve,Mongúz
1,4,,Bébé,Ka,,Beluga,Lemur,Zooey,,Franny,,Medve,Mongúz
1,4,,Bébé,Ka,Beluga,Medve,,Zooey,,Franny,,Lemur,Mongúz
1,4,,Bébé,Ka,,Medve,Beluga,Zooey,,Franny,,Lemur,Mongúz
1,4,Bébé,Lemur,Mongúz,Beluga,Ka,,Zooey,,Franny,,Medve,
1,4,,Lemur,Mongúz,Beluga,Ka,,Zooey,,Franny,,Bébé,Medve
1,4,,Lemur,Mongúz,Beluga,Ka,,Zooey,,Franny,,Medve,Bébé
1,4,Bébé,Lemur,Mongúz,,Ka,Beluga,Zooey,,Franny,,Medve,
1,4,,Lemur,Mongúz,,Ka,Beluga,Zooey,,Franny,,Bébé,Medve
1,4,,Lemur,Mongúz,,Ka,Beluga,Zooey,,Franny,,Medve,Bébé
1,4,,Lemur,,Beluga,Ka,Bébé,Zooey,,Franny,,Medve,Mongúz
1,4,,Lemur,,Beluga,Ka,,Zooey,,Franny,Bébé,Medve,Mongúz
1,4,,Lemur,,Beluga,Ka,,Zooey,Medve,Franny,,Bébé,Mongúz
1,4,Bébé,Lemur,,,Ka,Beluga,Zooey,,Franny,,Medve,Mongúz
1,4,,Bébé,Lemur,Beluga,Ka,,Zooey,,Franny,,Medve,Mongúz
1,4,,Bébé,Lemur,,Ka,Beluga,Zooey,,Franny,,Medve,Mongúz
1,4,Bébé,,Mongúz,Lemur,Ka,Beluga,Zooey,,Franny,,Medve,
1,4,,Bébé,Beluga,Lemur,Ka,,Zooey,,Franny,,Medve,Mongúz
1,4,Bébé,,,Lemur,Ka,Beluga,Zooey,,Franny,,Medve,Mongúz
1,4,Bébé,,Mongúz,Beluga,Ka,Lemur,Zooey,,Franny,,Medve,
1,4,,Bébé,Beluga,,Ka,Lemur,Zooey,,Franny,,Medve,Mongúz
1,4,Bébé,,,Beluga,Ka,Lemur,Zooey,,Franny,,Medve,Mongúz
1,4,,Bébé,Mongúz,Beluga,Ka,,Zooey,,Franny,,Lemur,Medve
1,4,,Bébé,Mongúz,,Ka,Beluga,Zooey,,Franny,,Lemur,Medve
1,4,,Bébé,,Beluga,Ka,,Zooey,Medve,Franny,,Lemur,Mongúz
1,4,Bébé,Lemur,Mongúz,Beluga,,Ka,Zooey,,Franny,,Medve,
1,4,,Lemur,Mongúz,Beluga,,Ka,Zooey,,Franny,,Bébé,Medve
1,4,,Lemur,Mongúz,Beluga,,Ka,Zooey,,Franny,,Medve,Bébé
1,4,Bébé,Lemur,Mongúz,,Beluga,Ka,Zooey,,Franny,,Medve,
1,4,,Lemur,Mongúz,,Beluga,Ka,Zooey,,Franny,,Bébé,Medve
1,4,,Lemur,Mongúz,,Beluga,Ka,Zooey,,Franny,,Medve,Bébé
1,4,,Lemur,Beluga,,Bébé,Ka,Zooey,,Franny,,Medve,Mongúz
1,4,,Lemur,Beluga,,Medve,Ka,Zooey,,Franny,,Bébé,Mongúz
1,4,Bébé,Lemur,,Beluga,Medve,Ka,Zooey,,Franny,,,Mongúz
1,4,,Lemur,,Beluga,Medve,Ka,Zooey,,Franny,Bébé,,Mongúz
1,4,,Lemur,,Beluga,,Ka,Zooey,,Franny,Bébé,Medve,Mongúz
1,4,,Lemur,,Beluga,,Ka,Zooey,Medve,Franny,,Bébé,Mongúz
1,4,Bébé,Lemur,,,Beluga,Ka,Zooey,,Franny,,Medve,Mongúz
1,4,,Bébé,Lemur,Beluga,,Ka,Zooey,,Franny,,Medve,Mongúz
1,4,,Bébé,Lemur,,Beluga,Ka,Zooey,,Franny,,Medve,Mongúz
1,4,Bébé,,Mongúz,Lemur,Beluga,Ka,Zooey,,Franny,,Medve,
1,4,,Bébé,Beluga,Lemur,,Ka,Zooey,,Franny,,Medve,Mongúz
1,4,Bébé,,,Lemur,Beluga,Ka,Zooey,,Franny,,Medve,Mongúz
1,4,Bébé,,Mongúz,Beluga,Medve,Ka,Zooey,,Franny,,Lemur,
1,4,,Bébé,Mongúz,Beluga,,Ka,Zooey,,Franny,,Lemur,Medve
1,4,,Bébé,Mongúz,,Beluga,Ka,Zooey,,Franny,,Lemur,Medve
1,4,,Bébé,Beluga,,Medve,Ka,Zooey,,Franny,,Lemur,Mongúz
1,4,Bébé,,,Beluga,Medve,Ka,Zooey,,Franny,,Lemur,Mongúz
1,4,,Bébé,,Beluga,,Ka,Zooey,Medve,Franny,,Lemur,Mongúz
1,4,Bébé,Lemur,Mongúz,Beluga,Medve,,Zooey,,Franny,,,Ka
1,4,Bébé,Lemur,Mongúz,Beluga,,,Zooey,,Franny,,Medve,Ka
1,4,,Lemur,Mongúz,Beluga,,Bébé,Zooey,,Franny,,Medve,Ka
1,4,,Lemur,Mongúz,Beluga,Medve,,Zooey,,Franny,Bébé,,Ka
1,4,,Lemur,Mongúz,,Beluga,Bébé,Zooey,,Franny,,Medve,Ka
