Rossz,Szomszedos,Márc. 2--4.,Márc. 15--18.,Ápr. 13--15.,Ápr. 27. - máj. 1.,Máj. 4--6.,Máj. 11--13.,Máj. 18--20.,Máj. 25--27.,Jún. 1--3.,Jún. 8--10.,Jún. 15--17.,Jún. 18--22.,Jún. 22--24.
5,3,Kb,,Franny,Ka,,,Lemur,Medve+Bébé,Zooey,,Mongúz,,
5,3,Kb,,Franny,Ka,,,Medve+Bébé,Lemur,Zooey,,Mongúz,,
5,3,Kb,,Franny,Ka,,,Mongúz,Medve+Bébé,Zooey,,Lemur,,
6,2,Kb,,Franny,Ka,,Zooey,Lemur,,Medve+Bébé,,Mongúz,,
6,2,Kb,,Franny,Ka,,Zooey,,Lemur,Medve+Bébé,,Mongúz,,
6,2,Kb,,Franny,Ka,,Zooey,Medve+Bébé,,Lemur,,Mongúz,,
6,2,Kb,,Franny,Ka,,Zooey,,Medve+Bébé,Lemur,,Mongúz,,
6,2,Kb,,Franny,Ka,,Zooey,Mongúz,,Medve+Bébé,,Lemur,,
6,2,Kb,,Franny,Ka,,Lemur,Medve+Bébé,,Zooey,,Mongúz,,
6,2,Kb,,Franny,Ka,,Lemur,,Medve+Bébé,Zooey,,Mongúz,,
6,3,Kb,,Franny,,,Zooey,Lemur,Ka,Medve+Bébé,,Mongúz,,
6,3,Kb,,Franny,,,Zooey,Medve+Bébé,Ka,Lemur,,Mongúz,,
6,3,Kb,,Franny,,,Zooey,Mongúz,Ka,Medve+Bébé,,Lemur,,
6,3,Kb,,Franny,Ka,,,Medve+Bébé,Mongúz,Zooey,,Lemur,,
6,3,Kb,,Franny,Ka,,,Medve+Bébé,,Zooey,Mongúz,Lemur,,
6,3,,,Franny,Ka,,,Lemur,Medve+Bébé,Zooey,,Mongúz,,Kb
6,3,,,Franny,Ka,,,Medve+Bébé,Lemur,Zooey,,Mongúz,,Kb
6,3,,,Franny,Ka,,,Mongúz,Medve+Bébé,Zooey,,Lemur,,Kb
6,3,Kb,,Franny,,,Lemur,Medve+Bébé,Ka,Zooey,,Mongúz,,
6,4,Kb,,Franny,Ka,,Zooey,Mongúz,Lemur,Medve+Bébé,,,,
6,4,Kb,,Franny,Ka,,Zooey,Mongúz,Medve+Bébé,Lemur,,,,
6,4,,,Franny,Ka,,Zooey,Kb,Lemur,Medve+Bébé,,Mongúz,,
6,4,,,Franny,Ka,,Zooey,Kb,Medve+Bébé,Lemur,,Mongúz,,
6,4,Kb,,Franny,Ka,,Lemur,Mongúz,Medve+Bébé,Zooey,,,,
6,4,Kb,,Franny,Ka,,,Lemur,Medve+Bébé,Zooey,Mongúz,,,
6,4,Kb,,Franny,Ka,,,Medve+Bébé,Lemur,Zooey,Mongúz,,,
6,4,Kb,,Franny,Ka,,,,Medve+Bébé,Zooey,Mongúz,Lemur,,
6,4,,,Franny,Ka,,Lemur,Kb,Medve+Bébé,Zooey,,Mongúz,,
6,4,Kb,,Franny,,,,Medve+Bébé,Ka,Zooey,Mongúz,Lemur,,
6,4,Kb,,Franny,,,,Lemur,Medve+Bébé,Zooey,Ka,Mongúz,,
6,4,Kb,,Franny,,,,Medve+Bébé,Lemur,Zooey,Ka,Mongúz,,
6,4,Kb,,Franny,,,,Mongúz,Medve+Bébé,Zooey,Ka,Lemur,,
6,5,,,Franny,Ka,,,Kb,Medve+Bébé,Zooey,Mongúz,Lemur,,
7,2,Kb,,Franny,Ka,,Zooey,,Mongúz,Medve+Bébé,,Lemur,,
7,2,Kb,,Franny,Ka,,Zooey,Medve+Bébé,,Mongúz,,Lemur,,
7,2,Kb,,Franny,Ka,,Zooey,,Medve+Bébé,Mongúz,,Lemur,,
7,2,,,Franny,Ka,,Zooey,Lemur,,Medve+Bébé,,Mongúz,,Kb
7,2,,,Franny,Ka,,Zooey,,Lemur,Medve+Bébé,,Mongúz,,Kb
7,2,,,Franny,Ka,,Zooey,Medve+Bébé,,Lemur,,Mongúz,,Kb
7,2,,,Franny,Ka,,Zooey,,Medve+Bébé,Lemur,,Mongúz,,Kb
7,2,,,Franny,Ka,,Zooey,Mongúz,,Medve+Bébé,,Lemur,,Kb
7,2,Kb,,Mongúz,Ka,,Zooey,Medve+Bébé,,Franny,,Lemur,,
7,2,Kb,,Mongúz,Ka,,Zooey,,Medve+Bébé,Franny,,Lemur,,
7,2,Kb,,Franny,Ka,,,Medve+Bébé,,Zooey,,Lemur,Mongúz,
7,2,,,Franny,Ka,,Lemur,Medve+Bébé,,Zooey,,Mongúz,,Kb
7,2,,,Franny,Ka,,Lemur,,Medve+Bébé,Zooey,,Mongúz,,Kb
7,3,Kb,,Franny,Ka,,Zooey,Lemur,,Medve+Bébé,Mongúz,,,
7,3,Kb,,Franny,Ka,,Zooey,Lemur,Medve+Bébé,,,Mongúz,,
7,3,Kb,,Franny,Ka,,Zooey,,Lemur,Medve+Bébé,Mongúz,,,
7,3,Kb,,Franny,Ka,,Zooey,Medve+Bébé,Lemur,,,Mongúz,,
7,3,Kb,,Franny,Ka,,Zooey,Medve+Bébé,,Lemur,Mongúz,,,
7,3,Kb,,Franny,Ka,,Zooey,,Medve+Bébé,Lemur,Mongúz,,,
7,3,Kb,,Franny,Ka,,Zooey,Mongúz,Medve+Bébé,,,Lemur,,
7,3,Kb,,Franny,Ka,,Zooey,,,Medve+Bébé,Mongúz,Lemur,,
7,3,Kb,,Franny,,,Zooey,Ka,Lemur,Medve+Bébé,,Mongúz,,
7,3,Kb,,Franny,,,Zooey,Ka,Medve+Bébé,Lemur,,Mongúz,,
7,3,Kb,,Franny,,,Zooey,Medve+Bébé,Ka,Mongúz,,Lemur,,
7,3,Kb,,Franny,,,Zooey,,Ka,Medve+Bébé,Mongúz,Lemur,,
7,3,,,Franny,,,Zooey,Lemur,Ka,Medve+Bébé,,Mongúz,,Kb
7,3,,,Franny,,,Zooey,Medve+Bébé,Ka,Lemur,,Mongúz,,Kb
7,3,,,Franny,,,Zooey,Mongúz,Ka,Medve+Bébé,,Lemur,,Kb
7,3,Kb,,Franny,,,Zooey,Lemur,Medve+Bébé,Ka,,Mongúz,,
7,3,Kb,,Franny,,,Zooey,Medve+Bébé,Lemur,Ka,,Mongúz,,
7,3,Kb,,Franny,,,Zooey,Mongúz,Medve+Bébé,Ka,,Lemur,,
7,3,Kb,,Franny,,,Zooey,Lemur,,Medve+Bébé,Ka,Mongúz,,
7,3,Kb,,Franny,,,Zooey,,Lemur,Medve+Bébé,Ka,Mongúz,,
7,3,Kb,,Franny,,,Zooey,Medve+Bébé,,Lemur,Ka,Mongúz,,
7,3,Kb,,Franny,,,Zooey,,Medve+Bébé,Lemur,Ka,Mongúz,,
7,3,Kb,,Franny,,,Zooey,Mongúz,,Medve+Bébé,Ka,Lemur,,
7,3,Kb,,Mongúz,,,Zooey,Medve+Bébé,Ka,Franny,,Lemur,,
7,3,Kb,,Franny,Ka,,Lemur,Medve+Bébé,,Zooey,Mongúz,,,
7,3,Kb,,Franny,Ka,,Lemur,,Medve+Bébé,Zooey,Mongúz,,,
7,3,Kb,,Franny,Ka,,,Lemur,Medve+Bébé,Zooey,,,Mongúz,
7,3,Kb,,Franny,Ka,,,Medve+Bébé,Lemur,Zooey,,,Mongúz,
7,3,Kb,,Franny,Ka,,,Medve+Bébé,,Zooey,Lemur,Mongúz,,
7,3,Kb,,Franny,Ka,,,,Medve+Bébé,Zooey,,Lemur,Mongúz,
7,3,,,Franny,Ka,,,Medve+Bébé,Mongúz,Zooey,,Lemur,,Kb
7,3,,,Franny,Ka,,,Medve+Bébé,,Zooey,Mongúz,Lemur,,Kb
7,3,Kb,,Franny,,,Lemur,Ka,Medve+Bébé,Zooey,,Mongúz,,
7,3,Kb,,Franny,Lemur,,,Medve+Bébé,Ka,Zooey,,Mongúz,,
7,3,Kb,,Franny,Mongúz,,,Medve+Bébé,Ka,Zooey,,Lemur,,
7,3,Kb,,Franny,,,,Medve+Bébé,Ka,Zooey,,Lemur,Mongúz,
7,3,,,Franny,,,Lemur,Medve+Bébé,Ka,Zooey,,Mongúz,,Kb
7,3,Kb,,Franny,,,Lemur,Medve+Bébé,,Zooey,Ka,Mongúz,,
7,3,Kb,,Franny,,,Lemur,,Medve+Bébé,Zooey,Ka,Mongúz,,
7,3,Kb,,Franny,Ka,,,Mongúz,Lemur,Medve+Bébé,,Zooey,,
7,3,Kb,,Franny,Ka,,,Mongúz,Medve+Bébé,Lemur,,Zooey,,
