,Okt. 5--7.,Okt. 19--21.,Őszi szünet,Nov. 16--18.,Nov. 23--25.,Dec. 7--9.,Dec. 21--23.,Jan. 4--6.,Jan. 11--13.,Jan. 18--20.,Jan. 25--27.
Bárány,4,4,8,3,6,2,5,2,1,2,2
Bálna,4,11,18,2,10,4,7,0,2,6,3
Franny,6,11,16,5,5,5,6,1,4,2,3
Zooey,2,5,9,0,0,3,5,1,5,0,2
Ka,8,6,3,1,0,1,3,0,1,0,0
Kb,5,9,8,2,2,2,3,1,10,0,1
Lemur,3,7,10,1,1,0,4,0,6,0,2
Mongúz,0,4,6,0,0,2,4,0,2,0,0
Okapi,3,6,8,9,2,0,4,0,8,1,1
Beluga,4,4,7,1,1,2,1,0,1,1,2
Bárány,,x,,x,,,,,x,,
Bálna,x,x,,,,,,,,,
Franny,,x,,x,,,,,x,,
Zooey,x,x,x,x,,,,,x,x,x
Ka,,,,,,,,,,,
Kb,,,,,,,,,,,
Lemur,x,,,,x,,x,,,,
Mongúz,x,,,,x,,x,,,,
Okapi,,,,x,,,,,x,x,x
Beluga,x,x,x,x,x,x,x,,,x,x
