,Okt. 5--7.,Okt. 12--14.,Okt. 19--21.,Őszi szünet,Nov. 9--11.,Nov. 16--18.,Nov. 23--25.,Nov 30.-- Dec 2.,Dec. 7--9.,Dec. 14--16.,Dec. 21--23.,Jan. 4--6.,Jan. 11--13.,Jan. 18--20.,Jan. 25--27.
Bárány,4,7,4,8,8,3,6,7,2,4,5,2,1,2,2
Bálna,4,8,11,18,7,2,10,4,4,4,7,0,2,6,3
Franny,6,10,11,16,9,5,5,9,5,5,6,1,4,2,3
Zooey,2,0,5,9,4,0,0,3,3,1,5,1,5,0,2
Ka,8,3,6,3,3,1,0,0,1,1,3,0,1,0,0
Kb,5,7,9,8,9,2,2,7,2,4,3,1,10,0,1
Lemur,3,2,7,10,7,1,1,6,0,1,4,0,6,0,2
Mongúz,0,3,4,6,0,0,0,1,2,0,4,0,2,0,0
Okapi,3,6,6,8,5,9,2,1,0,2,4,0,8,1,1
Beluga,4,4,4,7,2,1,1,2,2,0,1,0,1,1,2
Bárány,,,,,,x,,,,,,,,,
Bálna,x,x,x,,,,,,,,,,,,
Franny,,,,,,x,,,,,,,x,x,x
Zooey,x,x,x,x,,x,,,,,,,x,x,x
Ka,,,,,,,,,,,,,,,
Kb,,,,,,,,,,,,,,,
Lemur,x,,,,,,x,,,x,x,,,,
Mongúz,x,,,,,,x,,,x,x,,,,
Okapi,,,,,,x,,,,,,,x,x,x
Beluga,x,,x,x,,,,,x,x,x,,,,
