Rossz,Szomszedos,Okt. 5--7.,Okt. 19--21.,Őszi szünet,Nov. 16--18.,Nov. 23--25.,Dec. 7--9.,Dec. 21--23.,Jan. 4--6.,Jan. 11--13.,Jan. 18--20.,Jan. 25--27.
14,8,Bárány,,Ka,Bálna,Zooey,Okapi,Kb,Franny,Beluga,Lemur,Mongúz
14,8,Bárány,,Ka,Lemur,Zooey,Okapi,Kb,Bálna,Beluga,Franny,Mongúz
14,8,Bárány,,Ka,Mongúz,Zooey,Okapi,Kb,Bálna,Beluga,Lemur,Franny
14,8,Okapi,,Ka,Mongúz,Zooey,Lemur,Kb,Bálna,Beluga,Franny,Bárány
15,8,Bárány,,Ka,Bálna,Zooey,Lemur,Okapi,Franny,Beluga,Kb,Mongúz
15,8,Bárány,Mongúz,,Bálna,Zooey,Okapi,Kb,Franny,Beluga,Lemur,Ka
15,8,Bárány,,Ka,Bálna,Zooey,Lemur,Kb,Okapi,Beluga,Franny,Mongúz
15,8,Bárány,,Ka,Bálna,Zooey,Okapi,Kb,Lemur,Beluga,Franny,Mongúz
15,8,Bárány,,Ka,Mongúz,Zooey,Okapi,Kb,Bálna,Beluga,Franny,Lemur
15,8,Bárány,,Ka,Mongúz,Zooey,Lemur,Okapi,Bálna,Beluga,Franny,Kb
15,8,Bárány,Mongúz,,Lemur,Zooey,Okapi,Kb,Bálna,Beluga,Franny,Ka
15,8,Bárány,,Ka,Lemur,Zooey,Okapi,Kb,Bálna,Beluga,Mongúz,Franny
15,8,Bárány,,Ka,Mongúz,Zooey,Lemur,Okapi,Bálna,Beluga,Kb,Franny
15,8,Bárány,,Ka,Lemur,Zooey,Okapi,Kb,Beluga,Bálna,Franny,Mongúz
15,8,Bárány,,Ka,Mongúz,Zooey,Okapi,Kb,Beluga,Bálna,Lemur,Franny
15,8,Bárány,,Ka,Mongúz,Zooey,Okapi,Kb,Franny,Beluga,Lemur,Bálna
15,8,Okapi,,Ka,Bálna,Zooey,Bárány,Kb,Franny,Beluga,Lemur,Mongúz
15,8,Okapi,,Ka,Lemur,Zooey,Bárány,Kb,Bálna,Beluga,Franny,Mongúz
15,8,Okapi,,Ka,Mongúz,Zooey,Bárány,Kb,Bálna,Beluga,Lemur,Franny
15,8,Okapi,,Ka,Bálna,Zooey,Lemur,Kb,Franny,Beluga,Bárány,Mongúz
15,8,Okapi,,Ka,Mongúz,Zooey,Lemur,Kb,Bálna,Beluga,Bárány,Franny
15,8,Okapi,,Ka,Bálna,Zooey,Lemur,Kb,Franny,Beluga,Mongúz,Bárány
15,8,Okapi,,Ka,Mongúz,Zooey,Lemur,Kb,Beluga,Bálna,Franny,Bárány
16,8,Bárány,,Ka,Bálna,Zooey,Okapi,Kb,Franny,Beluga,Mongúz,Lemur
16,8,Bárány,,Ka,Bálna,Zooey,Lemur,Okapi,Franny,Beluga,Mongúz,Kb
