Rossz,Szomszedos,Okt. 5--7.,Okt. 12--14.,Nov. 9--11.,Nov. 16--18.,Nov. 23--25.,Nov 30.-- Dec 2.,Dec. 7--9.,Dec. 14--16.,Dec. 21--23.,Jan. 4--6.,Jan. 11--13.,Jan. 18--20.,Jan. 25--27.
5,7,,,Mongúz,Bálna,Zooey,Ka,Okapi,,,Franny,Bárány,Lemur,Kb
5,7,,,Mongúz,Bálna,Zooey,Okapi,Lemur,,,Franny,Bárány,Kb,Ka
6,6,,Lemur,,Bálna,Zooey,Ka,Okapi,,,Franny,Bárány,Kb,Mongúz
6,6,,,Mongúz,Bálna,Zooey,,Okapi,Ka,,Franny,Bárány,Lemur,Kb
6,6,,Lemur,Mongúz,Bálna,Zooey,,Okapi,,,Franny,Bárány,Kb,Ka
6,6,,,Mongúz,Bálna,Zooey,,Lemur,Okapi,,Franny,Bárány,Kb,Ka
6,6,,,Mongúz,Bálna,Ka,,Okapi,Zooey,,Franny,Bárány,Lemur,Kb
6,6,,,Mongúz,Bálna,,Ka,Okapi,Zooey,,Franny,Bárány,Lemur,Kb
6,6,,,Mongúz,Bálna,,Okapi,Lemur,Zooey,,Franny,Bárány,Kb,Ka
6,7,,Lemur,Mongúz,Bálna,Zooey,Ka,Okapi,,,Franny,Bárány,Kb,
6,7,,,Mongúz,Bálna,Zooey,Ka,Lemur,Okapi,,Franny,Bárány,Kb,
6,7,,,,Bálna,Zooey,Ka,Lemur,Okapi,,Franny,Bárány,Kb,Mongúz
6,7,,,Mongúz,Bálna,Zooey,Ka,Okapi,,,Franny,Bárány,Kb,Lemur
6,7,,,Mongúz,Bálna,Zooey,Okapi,Lemur,Ka,,Franny,Bárány,Kb,
6,7,,,,Bálna,Zooey,Okapi,Lemur,Ka,,Franny,Bárány,Kb,Mongúz
6,7,,,Mongúz,Bálna,Zooey,Okapi,Lemur,,,Franny,Bárány,Ka,Kb
6,7,,,Mongúz,Bálna,Ka,Okapi,Lemur,Zooey,,Franny,Bárány,Kb,
6,7,,,,Bálna,Ka,Okapi,Lemur,Zooey,,Franny,Bárány,Kb,Mongúz
6,7,,,Mongúz,Lemur,Zooey,Ka,Okapi,,,Franny,Bárány,Kb,Bálna
6,7,,,Mongúz,Lemur,Zooey,Ka,Okapi,,,Franny,Bálna,Kb,Bárány
7,5,,Lemur,,Bálna,Zooey,,Okapi,Ka,,Franny,Bárány,Kb,Mongúz
7,5,Okapi,,Mongúz,Bálna,Zooey,,Lemur,,,Franny,Bárány,Kb,Ka
7,5,,Lemur,,Bálna,Ka,,Okapi,Zooey,,Franny,Bárány,Kb,Mongúz
7,5,,Lemur,,Bálna,,Ka,Okapi,Zooey,,Franny,Bárány,Kb,Mongúz
7,6,Okapi,,Mongúz,Bálna,Zooey,Ka,Lemur,,,Franny,Bárány,Kb,
7,6,Okapi,,,Bálna,Zooey,Ka,Lemur,,,Franny,Bárány,Kb,Mongúz
7,6,,Lemur,Mongúz,Bálna,Zooey,Ka,Okapi,,,Franny,Bárány,,Kb
7,6,,Lemur,,Bálna,Zooey,Ka,Okapi,,,Franny,Bárány,Mongúz,Kb
7,6,,,Mongúz,Bálna,Zooey,Ka,Lemur,Okapi,,Franny,Bárány,,Kb
7,6,,,Mongúz,Bálna,Zooey,Ka,,Okapi,,Franny,Bárány,Lemur,Kb
7,6,,Lemur,Mongúz,Bálna,Zooey,,Okapi,Ka,,Franny,Bárány,Kb,
7,6,,,Mongúz,Bálna,Zooey,,Okapi,Ka,,Franny,Bárány,Kb,Lemur
7,6,,,Mongúz,Bálna,Zooey,Okapi,Lemur,Ka,,Franny,Bárány,,Kb
7,6,,,Mongúz,Bálna,Zooey,Okapi,,Ka,,Franny,Bárány,Lemur,Kb
7,6,,Lemur,Mongúz,Bálna,Zooey,,Okapi,,,Franny,Bárány,Ka,Kb
7,6,,,Mongúz,Bálna,Zooey,,Lemur,Okapi,,Franny,Bárány,Ka,Kb
7,6,,,Mongúz,Bálna,Zooey,,Okapi,,Kb,Franny,Bárány,Lemur,Ka
7,6,,Lemur,,Bálna,Zooey,Mongúz,Okapi,,,Franny,Bárány,Kb,Ka
7,6,,Lemur,Mongúz,Bálna,Ka,,Okapi,Zooey,,Franny,Bárány,Kb,
7,6,,,Mongúz,Bálna,Ka,,Okapi,Zooey,,Franny,Bárány,Kb,Lemur
7,6,,,Mongúz,Bálna,Ka,Okapi,Lemur,Zooey,,Franny,Bárány,,Kb
7,6,,,Mongúz,Bálna,Ka,Okapi,,Zooey,,Franny,Bárány,Lemur,Kb
7,6,,Lemur,Mongúz,Bálna,,Ka,Okapi,Zooey,,Franny,Bárány,Kb,
7,6,,,Mongúz,Bálna,,Ka,Okapi,Zooey,,Franny,Bárány,Kb,Lemur
7,6,,,Mongúz,Bálna,,Okapi,Lemur,Zooey,,Franny,Bárány,Ka,Kb
7,6,,,Mongúz,Bálna,Kb,,Okapi,Zooey,,Franny,Bárány,Lemur,Ka
