Rossz,Szomszedos,Okt. 5--7.,Okt. 19--21.,Őszi szünet,Nov. 16--18.,Nov. 23--25.,Dec. 7--9.,Dec. 21--23.,Jan. 4--6.,Jan. 11--13.,Jan. 18--20.,Jan. 25--27.
10,6,Okapi,,Ka,Bálna,Zooey,Lemur,,Franny,Bárány,Kb,Mongúz
10,7,Okapi,,,Bálna,Zooey,Lemur,Ka,Franny,Bárány,Kb,Mongúz
10,7,Okapi,,,Bálna,Zooey,Lemur,Kb,Franny,Bárány,Ka,Mongúz
10,7,Okapi,,,Bálna,Zooey,Lemur,Kb,Franny,Bárány,Mongúz,Ka
10,8,,,Ka,Bálna,Zooey,Okapi,Kb,Franny,Bárány,Lemur,Mongúz
11,6,Okapi,,Ka,Bálna,Zooey,Lemur,,Franny,Bárány,Mongúz,Kb
11,6,Okapi,,Ka,Mongúz,Zooey,Lemur,,Franny,Bárány,Kb,Bálna
11,6,Okapi,,Ka,Mongúz,Zooey,Lemur,,Franny,Bálna,Kb,Bárány
11,7,Okapi,,,Mongúz,Zooey,Bárány,Kb,Franny,Bálna,Lemur,Ka
11,7,Okapi,,,Bálna,Zooey,Ka,Kb,Franny,Bárány,Lemur,Mongúz
11,7,Okapi,,,Bálna,Zooey,Lemur,Ka,Franny,Bárány,Mongúz,Kb
11,7,Okapi,,,Mongúz,Zooey,Lemur,Ka,Franny,Bárány,Kb,Bálna
11,7,Okapi,,,Mongúz,Zooey,Lemur,Kb,Franny,Bárány,Ka,Bálna
11,7,Okapi,,,Mongúz,Zooey,Lemur,Kb,Franny,Bálna,Bárány,Ka
11,7,Okapi,,,Mongúz,Zooey,Lemur,Ka,Franny,Bálna,Kb,Bárány
11,7,Okapi,,,Mongúz,Zooey,Lemur,Kb,Franny,Bálna,Ka,Bárány
11,8,,,Ka,Mongúz,Zooey,Okapi,Kb,Franny,Bárány,Lemur,Bálna
11,8,,,Ka,Mongúz,Zooey,Okapi,Kb,Franny,Bálna,Lemur,Bárány
12,6,Okapi,,Ka,Lemur,Zooey,Bárány,,Franny,Bálna,Kb,Mongúz
12,6,Okapi,,Ka,Mongúz,Zooey,Bárány,,Franny,Bálna,Lemur,Kb
12,6,Okapi,,Ka,Bálna,Zooey,Kb,,Franny,Bárány,Lemur,Mongúz
12,6,Okapi,,Ka,Mongúz,Zooey,Lemur,,Franny,Bálna,Bárány,Kb
12,7,Okapi,,,Bálna,Zooey,Bárány,Kb,Franny,Ka,Lemur,Mongúz
12,7,Okapi,,,Ka,Zooey,Bárány,Kb,Franny,Bálna,Lemur,Mongúz
12,7,Okapi,,,Lemur,Zooey,Bárány,Ka,Franny,Bálna,Kb,Mongúz
12,7,Okapi,,,Mongúz,Zooey,Bárány,Ka,Franny,Bálna,Lemur,Kb
12,7,Okapi,,,Lemur,Zooey,Bárány,Kb,Franny,Bálna,Ka,Mongúz
12,7,Okapi,,,Lemur,Zooey,Bárány,Kb,Franny,Bálna,Mongúz,Ka
12,7,Okapi,,,Bálna,Zooey,Kb,Ka,Franny,Bárány,Lemur,Mongúz
12,7,Okapi,,,Bálna,Zooey,Mongúz,Kb,Franny,Bárány,Lemur,Ka
12,7,Okapi,,,Ka,Zooey,Lemur,Kb,Franny,Bárány,Mongúz,Bálna
12,7,Okapi,,,Mongúz,Zooey,Ka,Kb,Franny,Bárány,Lemur,Bálna
12,7,Okapi,,,Bálna,Zooey,Lemur,Kb,Franny,Ka,Bárány,Mongúz
12,7,Okapi,,,Ka,Zooey,Lemur,Kb,Franny,Bálna,Bárány,Mongúz
12,7,Okapi,,,Mongúz,Zooey,Lemur,Ka,Franny,Bálna,Bárány,Kb
12,7,Okapi,,,Bálna,Zooey,Lemur,Kb,Franny,Ka,Mongúz,Bárány
12,7,Okapi,,,Ka,Zooey,Lemur,Kb,Franny,Bálna,Mongúz,Bárány
12,7,Okapi,,,Mongúz,Zooey,Ka,Kb,Franny,Bálna,Lemur,Bárány
12,8,,,Ka,Bálna,Zooey,Okapi,Kb,Franny,Bárány,Mongúz,Lemur
12,8,,,Ka,Lemur,Zooey,Okapi,Kb,Franny,Bárány,Mongúz,Bálna
12,8,,,Ka,Lemur,Zooey,Okapi,Kb,Franny,Bálna,Bárány,Mongúz
12,8,,,Ka,Lemur,Zooey,Okapi,Kb,Franny,Bálna,Mongúz,Bárány
