,Febr. 8--10.,Febr. 22--24.,Márc. 1--3.,Márc. 8--10.,Márc. 15--17.,Márc. 22--24.,Ápr. 5--7.,Ápr. 12--14.,Tavaszi szünet,Ápr. 26--28.,Máj. 3--5.,Máj. 10--12.,Máj. 17--19.,Máj. 24--26.,Máj. 31. -- jún. 2.,Jún. 7--10.,Jún. 14--16.,Jún. 17--20.,Jún. 21--23.
Manátusz,11,2,4,4,5,15,1,12,15,5,6,4,6,6,5,8,3,8,9
Bálna,3,3,2,3,5,5,2,7,5,1,1,2,4,6,3,5,5,5,5
Bárány,6,5,1,5,3,13,3,15,7,1,4,3,3,11,4,5,5,3,3
Zooey,5,10,9,3,3,3,7,15,8,3,4,2,7,2,6,1,1,2,4
Franny,4,4,6,5,8,2,5,8,9,4,4,4,1,1,3,6,4,7,5
Ka,8,5,5,6,0,2,3,5,6,1,4,7,1,0,2,5,4,3,4
Kb,3,7,5,5,5,2,11,10,7,4,3,2,0,1,5,6,2,2,2
Lemur,2,3,3,2,2,1,5,9,8,5,2,3,1,0,1,0,1,5,9
Mongúz,5,3,4,3,4,0,3,3,3,1,4,4,1,0,1,4,3,3,4
Manátusz,x,x,x,x,x,x,x,,,,x,x,,,,,x,x,x
Bálna,,,,,,,,,,,,,,,,,,,
Bárány,,,,,,,x,,,,,,,,,,,,
Zooey,,,,,,,x,,x,,,,,,,,,,
Franny,,,,,,,x,,,,,,,,,,,,
Ka,,,,,,,,,,,x,,,,,,,,
Kb,x,x,x,,,,,,,,x,x,,,,,,,
Lemur,x,x,x,x,x,x,,,,x,,,,,,,,,
Mongúz,,x,,,,,,,,x,,,,,,,,,
